fecha,id_opinion,id_cliente,opinion
2022-01-01,123456789,1,"Compré el celular XYZ y estoy muy satisfecho/a con la calidad de la cámara y de la pantalla. El diseño es moderno y elegante. La batería dura bastante tiempo y el rendimiento es excelente. ¡Lo recomiendo!"
2022-01-02,234567890,2,"Compré la laptop ABC y estoy muy insatisfecho/a con la calidad de la pantalla. Los colores son débiles y la resolución es baja. Además, el rendimiento es lento y se traba con frecuencia. ¡No la recomiendo!"
2022-01-03,345678901,3,"Compré el auricular DEF y estoy neutral respecto al producto. La calidad de la cámara es buena, pero el diseño es demasiado simple. El precio es justo, aunque existen opciones mejores en el mercado."
2022-01-04,456789012,4,"Compré la tablet GHI y estoy muy insatisfecho/a con la calidad de la batería. Dura muy poco tiempo y tarda mucho en cargarse. Además, el rendimiento es lento y se traba con frecuencia. ¡No la recomiendo!"
2022-01-05,567890123,5,"Compré el celular JKL y estoy neutral respecto al producto. La calidad de la cámara es buena, pero el diseño es demasiado simple. El precio es justo, aunque existen opciones mejores en el mercado."
2022-01-06,678901234,6,"Compré la laptop MNO y estoy muy insatisfecho/a con la calidad de la batería. Dura muy poco tiempo y tarda mucho en cargarse. Además, el rendimiento es lento y se traba con frecuencia. ¡No la recomiendo!"
2022-01-07,789012345,7,"Compré el auricular PQR y estoy muy satisfecho/a con la calidad del sonido. Es nítido y potente. El diseño es moderno y cómodo. ¡Lo recomiendo!"
2022-01-08,890123456,8,"Compré la tablet STU y estoy muy insatisfecho/a con la calidad de la pantalla. Los colores son débiles y la resolución es baja. Además, el rendimiento es lento y se traba con frecuencia. ¡No la recomiendo!"
2022-01-09,901234567,9,"Compré el celular VWX y estoy neutral respecto al producto. La calidad de la cámara es buena, pero el diseño es demasiado simple. El precio es justo, aunque existen opciones mejores en el mercado."
2022-01-10,123456780,10,"Compré la laptop YZA y estoy muy insatisfecho/a con la calidad de la batería. Dura muy poco tiempo y tarda mucho en cargarse. Además, el rendimiento es lento y se traba con frecuencia. ¡No la recomiendo!"
2022-01-11,234567891,11,"Compré el auricular BCD y estoy muy satisfecho/a con la calidad del sonido. Es nítido y potente. El diseño es moderno y cómodo. ¡Lo recomiendo!"
2022-01-12,345678902,12,"Compré la tablet DEF y estoy muy insatisfecho/a con la calidad de la pantalla. Los colores son débiles y la resolución es baja. Además, el rendimiento es lento y se traba con frecuencia. ¡No la recomiendo!"
2022-01-13,456789013,13,"Compré el celular GHI y estoy neutral respecto al producto. La calidad de la cámara es buena, pero el diseño es demasiado simple. El precio es justo, aunque existen opciones mejores en el mercado."
2022-01-14,567890124,14,"Compré la laptop JKL y estoy muy insatisfecho/a con la calidad de la batería. Dura muy poco tiempo y tarda mucho en cargarse. Además, el rendimiento es lento y se traba con frecuencia. ¡No la recomiendo!"
2022-01-15,678901235,15,"Compré el auricular MNO y estoy muy satisfecho/a con la calidad del sonido. Es nítido y potente. El diseño es moderno y cómodo. ¡Lo recomiendo!"
2022-01-16,789012346,16,"Compré la tablet PQR y estoy muy insatisfecho/a con la calidad de la pantalla. Los colores son débiles y la resolución es baja. Además, el rendimiento es lento y se traba con frecuencia. ¡No la recomiendo!"
2022-01-17,890123457,17,"Compré el celular STU y estoy neutral respecto al producto. La calidad de la cámara es buena, pero el diseño es demasiado simple. El precio es justo, aunque existen opciones mejores en el mercado."
2022-01-18,901234568,18,"Compré la laptop VWX y estoy muy insatisfecho/a con la calidad de la batería. Dura muy poco tiempo y tarda mucho en cargarse. Además, el rendimiento es lento y se traba con frecuencia. ¡No la recomiendo!"
